Date,Symbol,Open,High,Low,Close,Volume,Market Cap
23-11-2025,BTC,84648.609375,88038.46875,84641.7734375,86805.0078125,58083435576.0,1737300484040.6658
24-11-2025,BTC,86798.7734375,89206.3359375,85272.1953125,88270.5625,74433896110.0,1766631843280.693
25-11-2025,BTC,88269.9609375,88457.3359375,86131.4296875,87341.890625,64837343545.0,1748045564232.86
26-11-2025,BTC,87345.5859375,90581.15625,86316.8984375,90518.3671875,66496301869.0,1811619019366.867
27-11-2025,BTC,90517.765625,91897.578125,90089.515625,91285.375,57040622845.0,1826969781696.1267
28-11-2025,BTC,91285.3828125,92969.0859375,90257.1171875,90919.265625,60895830289.0,1819642531685.699
29-11-2025,BTC,90918.7421875,91187.6171875,90260.1875,90851.7578125,37921773455.0,1818291441946.8892
30-11-2025,BTC,90838.2109375,91965.046875,90394.3125,90394.3125,38497902869.0,1809136210205.5938
01-12-2025,BTC,90389.109375,90398.15625,83862.25,86321.5703125,87962894424.0,1727625049132.9524
02-12-2025,BTC,86322.5390625,92316.6328125,86202.1953125,91350.203125,78546798211.0,1828267240630.5837
03-12-2025,BTC,91345.09375,94060.7734375,91056.390625,93527.8046875,77650204986.0,1871849383457.5347
04-12-2025,BTC,93454.2578125,94038.2421875,90976.1015625,92141.625,64538402681.0,1844106621804.1648
05-12-2025,BTC,92133.6484375,92702.640625,88152.140625,89387.7578125,63256398633.0,1788991197954.8682
06-12-2025,BTC,89389.359375,90267.4609375,88951.6640625,89272.375,37994042405.0,1786681946207.098
07-12-2025,BTC,89277.8125,91740.84375,87799.5625,90405.640625,47394898960.0,1809362929349.359
08-12-2025,BTC,90424.5859375,92267.1171875,89644.890625,90640.203125,57394099056.0,1814057422847.568
09-12-2025,BTC,90639.703125,94601.5703125,89586.9765625,92691.7109375,66861721440.0,1855115947067.3682
10-12-2025,BTC,92695.234375,94477.15625,91640.1328125,92020.9453125,65420694513.0,1841691359311.9307
11-12-2025,BTC,92011.3046875,93554.265625,89335.296875,92511.3359375,64532834621.0,1851505952866.507
12-12-2025,BTC,92513.6640625,92747.9296875,89532.6015625,90270.4140625,80275884583.0,1806656528204.9243
13-12-2025,BTC,90257.796875,90647.5703125,89800.9921875,90298.7109375,64237748110.0,1807222856990.2466
14-12-2025,BTC,90296.4375,90498.109375,87634.9375,88175.1796875,50465972205.0,1764722868090.191
15-12-2025,BTC,88171.078125,89983.921875,85304.078125,86419.78125,45559514323.0,1729590625930.3806
16-12-2025,BTC,86424.40625,88170.09375,85381.6875,87843.984375,41262178223.0,1758094382116.6501
17-12-2025,BTC,87847.6171875,90264.5703125,85316.265625,86143.7578125,44243392914.0,1724066340365.991
18-12-2025,BTC,86144.3671875,89412.6640625,84436.3125,85462.5078125,52667115348.0,1710431920134.0483
19-12-2025,BTC,85476.1328125,89339.1171875,85107.6640625,88103.3828125,46733310561.0,1763285937792.8108
20-12-2025,BTC,88101.671875,88497.203125,87924.875,88344.0,14688196659.0,1768101608764.4119
21-12-2025,BTC,88344.703125,89027.953125,87613.203125,88621.75,19845522660.0,1773660449453.4717
22-12-2025,BTC,88621.3984375,90501.9296875,87908.0703125,88490.015625,38047472118.0,1771023940348.5288
23-12-2025,BTC,88490.03125,88898.3828125,86606.9765625,87414.0,43683011533.0,1749488748851.4478
24-12-2025,BTC,87404.3203125,87956.8828125,86411.796875,87611.9609375,25550297986.0,1753450704978.2505
25-12-2025,BTC,87608.3203125,88501.7890625,86949.2578125,87234.7421875,19953216347.0,1745901113848.9026
26-12-2025,BTC,87235.5078125,89459.4296875,86628.140625,87301.4296875,42455674908.0,1747235785994.5432
27-12-2025,BTC,87301.4296875,87874.78125,87182.9765625,87802.15625,13741199310.0,1757257241223.0513
28-12-2025,BTC,87799.34375,87986.890625,87394.953125,87835.8359375,15156557929.0,1757931300691.1697
29-12-2025,BTC,87835.7890625,90299.15625,86717.9140625,87138.140625,48411625849.0,1743967746805.692
